name,type,maxLevel,league,tier,level,partsForUpgrade,softForUpgrade,timeForUpgrade,allPartOnLevel,bonusHealth,bonusStrength,bonusDefense,bonusPenetration,passive
,,,,,3,2,200,0,3,11,20,,,
,,,,,4,4,400,0,7,15,27,,,
,,,,,5,6,600,0,13,19,34,,,
,,,,,6,8,800,0,21,23,41,,,
,,,,,7,10,1000,0,31,26,47,,,
,,,,,8,12,1200,0,43,30,54,,,
,,,,,9,14,1400,0,57,34,61,,,
,,,,,10,16,1600,0,73,38,68,,,
,,,,,11,20,2000,0,93,41,74,,,
,,,,,12,25,2500,0,118,45,81,,,
,,,,,13,30,3000,0,148,49,88,,,
,,,,,14,35,3500,0,183,53,95,,,
,,,,,15,40,4000,0,223,56,101,,,
,,,,,16,45,4500,0,268,60,108,,,
,,,,,17,50,5000,0,318,64,115,,,
,,,,,18,55,5500,0,373,68,122,,,
,,,,,19,60,6000,0,433,71,128,,,
,,,,,20,70,7000,0,503,75,135,,,
,,,,,21,80,8000,0,583,79,142,,,
,,,,,22,90,9000,0,673,83,149,,,
,,,,,23,100,10000,0,773,86,155,,,
,,,,,24,110,11000,0,883,90,162,,,
,,,,,25,120,12000,0,1003,94,169,,,
,,,,,26,130,13000,0,1133,98,176,,,
,,,,,27,140,14000,0,1273,101,182,,,
,,,,,28,150,15000,0,1423,105,189,,,
,,,,,29,160,16000,0,1583,109,196,,,
,,,,,30,175,17500,0,1758,113,203,,,
,,,,,31,200,20000,0,1958,116,209,,,
,,,,,32,225,22500,0,2183,120,216,,,
,,,,,33,250,25000,0,2433,124,223,,,
,,,,,34,275,27500,0,2708,128,230,,,
,,,,,35,300,30000,0,3008,131,236,,,
,,,,,36,325,32500,0,3333,135,243,,,
,,,,,37,350,35000,0,3683,139,250,,,
,,,,,38,375,37500,0,4058,143,257,,,
,,,,,39,400,40000,0,4458,146,263,,,
,,,,,40,450,45000,0,4908,150,270,,,
"Оружие 1, тир 2",WEAPON,30,1,2,1,,,,,,107,,,"Если персонаж не использовал базовую атаку в течение 3 секунд, то следующая базовая атака нанесет бонусный урон Х%"
,,,,,2,1,2500,0,1,,117,,,"Если персонаж не использовал базовую атаку в течение 3 секунд, то следующая базовая атака нанесет бонусный урон Х%"
,,,,,3,2,3000,0,3,,127,,,"Если персонаж не использовал базовую атаку в течение 3 секунд, то следующая базовая атака нанесет бонусный урон Х%"
,,,,,4,4,3500,0,7,,137,,,"Если персонаж не использовал базовую атаку в течение 3 секунд, то следующая базовая атака нанесет бонусный урон Х%"
,,,,,5,6,4000,0,13,,146,,,"Если персонаж не использовал базовую атаку в течение 3 секунд, то следующая базовая атака нанесет бонусный урон Х%"
,,,,,6,8,4500,0,21,,156,,,"Если персонаж не использовал базовую атаку в течение 3 секунд, то следующая базовая атака нанесет бонусный урон Х%"
,,,,,7,10,5000,0,31,,166,,,"Если персонаж не использовал базовую атаку в течение 3 секунд, то следующая базовая атака нанесет бонусный урон Х%"
,,,,,8,12,5500,0,43,,176,,,"Если персонаж не использовал базовую атаку в течение 3 секунд, то следующая базовая атака нанесет бонусный урон Х%"
,,,,,9,14,6000,0,57,,185,,,"Если персонаж не использовал базовую атаку в течение 3 секунд, то следующая базовая атака нанесет бонусный урон Х%"
,,,,,10,16,7000,0,73,,195,,,"Если персонаж не использовал базовую атаку в течение 3 секунд, то следующая базовая атака нанесет бонусный урон Х%"
,,,,,11,20,8000,0,93,,205,,,"Если персонаж не использовал базовую атаку в течение 3 секунд, то следующая базовая атака нанесет бонусный урон Х%"
,,,,,12,25,9000,0,118,,215,,,"Если персонаж не использовал базовую атаку в течение 3 секунд, то следующая базовая атака нанесет бонусный урон Х%"
,,,,,13,30,10000,0,148,,224,,,"Если персонаж не использовал базовую атаку в течение 3 секунд, то следующая базовая атака нанесет бонусный урон Х%"
,,,,,14,35,11000,0,183,,234,,,"Если персонаж не использовал базовую атаку в течение 3 секунд, то следующая базовая атака нанесет бонусный урон Х%"
,,,,,15,40,12000,0,223,,244,,,"Если персонаж не использовал базовую атаку в течение 3 секунд, то следующая базовая атака нанесет бонусный урон Х%"
,,,,,16,45,13000,0,268,,254,,,"Если персонаж не использовал базовую атаку в течение 3 секунд, то следующая базовая атака нанесет бонусный урон Х%"
,,,,,17,50,14000,0,318,,263,,,"Если персонаж не использовал базовую атаку в течение 3 секунд, то следующая базовая атака нанесет бонусный урон Х%"
,,,,,18,55,15000,0,373,,273,,,"Если персонаж не использовал базовую атаку в течение 3 секунд, то следующая базовая атака нанесет бонусный урон Х%"
,,,,,19,60,16000,0,433,,283,,,"Если персонаж не использовал базовую атаку в течение 3 секунд, то следующая базовая атака нанесет бонусный урон Х%"
,,,,,20,70,17500,0,503,,293,,,"Если персонаж не использовал базовую атаку в течение 3 секунд, то следующая базовая атака нанесет бонусный урон Х%"
,,,,,21,80,20000,0,583,,302,,,"Если персонаж не использовал базовую атаку в течение 3 секунд, то следующая базовая атака нанесет бонусный урон Х%"
,,,,,22,90,22500,0,673,,312,,,"Если персонаж не использовал базовую атаку в течение 3 секунд, то следующая базовая атака нанесет бонусный урон Х%"
,,,,,23,100,25000,0,773,,322,,,"Если персонаж не использовал базовую атаку в течение 3 секунд, то следующая базовая атака нанесет бонусный урон Х%"
,,,,,24,110,27500,0,883,,332,,,"Если персонаж не использовал базовую атаку в течение 3 секунд, то следующая базовая атака нанесет бонусный урон Х%"
,,,,,25,120,30000,0,1003,,341,,,"Если персонаж не использовал базовую атаку в течение 3 секунд, то следующая базовая атака нанесет бонусный урон Х%"
,,,,,26,130,32500,0,1133,,351,,,"Если персонаж не использовал базовую атаку в течение 3 секунд, то следующая базовая атака нанесет бонусный урон Х%"
,,,,,27,140,35000,0,1273,,361,,,"Если персонаж не использовал базовую атаку в течение 3 секунд, то следующая базовая атака нанесет бонусный урон Х%"
,,,,,28,150,37500,0,1423,,371,,,"Если персонаж не использовал базовую атаку в течение 3 секунд, то следующая базовая атака нанесет бонусный урон Х%"
,,,,,29,160,40000,0,1583,,380,,,"Если персонаж не использовал базовую атаку в течение 3 секунд, то следующая базовая атака нанесет бонусный урон Х%"
,,,,,30,175,45000,0,1758,,390,,,"Если персонаж не использовал базовую атаку в течение 3 секунд, то следующая базовая атака нанесет бонусный урон Х%"
"Оружие 2, тир 2",WEAPON,30,2,2,1,,,,,,80,,27,+Х% шанс крита
,,,,,2,1,2500,0,1,,88,,29,+Х% шанс крита
,,,,,3,2,3000,0,3,,95,,32,+Х% шанс крита
,,,,,4,4,3500,0,7,,102,,34,+Х% шанс крита
,,,,,5,6,4000,0,13,,110,,37,+Х% шанс крита
,,,,,6,8,4500,0,21,,117,,39,+Х% шанс крита
,,,,,7,10,5000,0,31,,124,,41,+Х% шанс крита
,,,,,8,12,5500,0,43,,132,,44,+Х% шанс крита
,,,,,9,14,6000,0,57,,139,,46,+Х% шанс крита
,,,,,10,16,7000,0,73,,146,,49,+Х% шанс крита
,,,,,11,20,8000,0,93,,154,,51,+Х% шанс крита
,,,,,12,25,9000,0,118,,161,,54,+Х% шанс крита
,,,,,13,30,10000,0,148,,168,,56,+Х% шанс крита
,,,,,14,35,11000,0,183,,176,,59,+Х% шанс крита
,,,,,15,40,12000,0,223,,183,,61,+Х% шанс крита
,,,,,16,45,13000,0,268,,190,,63,+Х% шанс крита
,,,,,17,50,14000,0,318,,197,,66,+Х% шанс крита
,,,,,18,55,15000,0,373,,205,,68,+Х% шанс крита
,,,,,19,60,16000,0,433,,212,,71,+Х% шанс крита
,,,,,20,70,17500,0,503,,219,,73,+Х% шанс крита
,,,,,21,80,20000,0,583,,227,,76,+Х% шанс крита
,,,,,22,90,22500,0,673,,234,,78,+Х% шанс крита
,,,,,23,100,25000,0,773,,241,,80,+Х% шанс крита
,,,,,24,110,27500,0,883,,249,,83,+Х% шанс крита
,,,,,25,120,30000,0,1003,,256,,85,+Х% шанс крита
,,,,,26,130,32500,0,1133,,263,,88,+Х% шанс крита
,,,,,27,140,35000,0,1273,,271,,90,+Х% шанс крита
,,,,,28,150,37500,0,1423,,278,,93,+Х% шанс крита
,,,,,29,160,40000,0,1583,,285,,95,+Х% шанс крита
,,,,,30,175,45000,0,1758,,293,,98,+Х% шанс крита
"Оружие 3, тир 2",WEAPON,30,3,2,1,,,,,45,80,,,+X% вампирик
,,,,,2,1,2500,0,1,49,88,,,+X% вампирик
,,,,,3,2,3000,0,3,53,95,,,+X% вампирик
,,,,,4,4,3500,0,7,57,102,,,+X% вампирик
,,,,,5,6,4000,0,13,61,110,,,+X% вампирик
,,,,,6,8,4500,0,21,65,117,,,+X% вампирик
,,,,,7,10,5000,0,31,69,124,,,+X% вампирик
,,,,,8,12,5500,0,43,73,132,,,+X% вампирик
,,,,,9,14,6000,0,57,77,139,,,+X% вампирик
,,,,,10,16,7000,0,73,81,146,,,+X% вампирик
,,,,,11,20,8000,0,93,85,154,,,+X% вампирик
,,,,,12,25,9000,0,118,89,161,,,+X% вампирик
,,,,,13,30,10000,0,148,93,168,,,+X% вампирик
,,,,,14,35,11000,0,183,98,176,,,+X% вампирик
,,,,,15,40,12000,0,223,102,183,,,+X% вампирик
,,,,,16,45,13000,0,268,106,190,,,+X% вампирик
,,,,,17,50,14000,0,318,110,197,,,+X% вампирик
,,,,,18,55,15000,0,373,114,205,,,+X% вампирик
,,,,,19,60,16000,0,433,118,212,,,+X% вампирик
,,,,,20,70,17500,0,503,122,219,,,+X% вампирик
,,,,,21,80,20000,0,583,126,227,,,+X% вампирик
,,,,,22,90,22500,0,673,130,234,,,+X% вампирик
,,,,,23,100,25000,0,773,134,241,,,+X% вампирик
,,,,,24,110,27500,0,883,138,249,,,+X% вампирик
,,,,,25,120,30000,0,1003,142,256,,,+X% вампирик
,,,,,26,130,32500,0,1133,146,263,,,+X% вампирик
,,,,,27,140,35000,0,1273,150,271,,,+X% вампирик
,,,,,28,150,37500,0,1423,154,278,,,+X% вампирик
,,,,,29,160,40000,0,1583,158,285,,,+X% вампирик
,,,,,30,175,45000,0,1758,163,293,,,+X% вампирик
"Оружие 1, тир 3",WEAPON,20,2,3,1,,,,,92,165,,,Применение скилла повышает урон от следующей базовой атаки на Х%
,,,,,2,1,9000,0,1,96,173,,,Применение скилла повышает урон от следующей базовой атаки на Х%
,,,,,3,2,10000,0,3,101,181,,,Применение скилла повышает урон от следующей базовой атаки на Х%
,,,,,4,4,11000,0,7,105,189,,,Применение скилла повышает урон от следующей базовой атаки на Х%
,,,,,5,6,12000,0,13,109,197,,,Применение скилла повышает урон от следующей базовой атаки на Х%
,,,,,6,8,13000,0,21,114,205,,,Применение скилла повышает урон от следующей базовой атаки на Х%
,,,,,7,10,14000,0,31,118,213,,,Применение скилла повышает урон от следующей базовой атаки на Х%
,,,,,8,12,15000,0,43,123,221,,,Применение скилла повышает урон от следующей базовой атаки на Х%
,,,,,9,14,16000,0,57,127,228,,,Применение скилла повышает урон от следующей базовой атаки на Х%
,,,,,10,16,17500,0,73,131,236,,,Применение скилла повышает урон от следующей базовой атаки на Х%
,,,,,11,20,20000,0,93,136,244,,,Применение скилла повышает урон от следующей базовой атаки на Х%
,,,,,12,25,22500,0,118,140,252,,,Применение скилла повышает урон от следующей базовой атаки на Х%
,,,,,13,30,25000,0,148,144,260,,,Применение скилла повышает урон от следующей базовой атаки на Х%
,,,,,14,35,27500,0,183,149,268,,,Применение скилла повышает урон от следующей базовой атаки на Х%
,,,,,15,40,30000,0,223,153,276,,,Применение скилла повышает урон от следующей базовой атаки на Х%
,,,,,16,45,32500,0,268,158,284,,,Применение скилла повышает урон от следующей базовой атаки на Х%
,,,,,17,50,35000,0,318,162,291,,,Применение скилла повышает урон от следующей базовой атаки на Х%
,,,,,18,55,37500,0,373,166,299,,,Применение скилла повышает урон от следующей базовой атаки на Х%
,,,,,19,60,40000,0,433,171,307,,,Применение скилла повышает урон от следующей базовой атаки на Х%
,,,,,20,70,45000,0,503,175,315,,,Применение скилла повышает урон от следующей базовой атаки на Х%
"Оружие 2, тир 3",WEAPON,20,3,3,1,,,,,,165,,55,Повторные атаки по одной и той же цели наносят на Х% урона. Стакается до 5 раз.
,,,,,2,1,9000,0,1,,173,,58,Повторные атаки по одной и той же цели наносят на Х% урона. Стакается до 5 раз.
,,,,,3,2,10000,0,3,,181,,60,Повторные атаки по одной и той же цели наносят на Х% урона. Стакается до 5 раз.
,,,,,4,4,11000,0,7,,189,,63,Повторные атаки по одной и той же цели наносят на Х% урона. Стакается до 5 раз.
,,,,,5,6,12000,0,13,,197,,66,Повторные атаки по одной и той же цели наносят на Х% урона. Стакается до 5 раз.
,,,,,6,8,13000,0,21,,205,,68,Повторные атаки по одной и той же цели наносят на Х% урона. Стакается до 5 раз.
,,,,,7,10,14000,0,31,,213,,71,Повторные атаки по одной и той же цели наносят на Х% урона. Стакается до 5 раз.
,,,,,8,12,15000,0,43,,221,,74,Повторные атаки по одной и той же цели наносят на Х% урона. Стакается до 5 раз.
,,,,,9,14,16000,0,57,,228,,76,Повторные атаки по одной и той же цели наносят на Х% урона. Стакается до 5 раз.
,,,,,10,16,17500,0,73,,236,,79,Повторные атаки по одной и той же цели наносят на Х% урона. Стакается до 5 раз.
,,,,,11,20,20000,0,93,,244,,81,Повторные атаки по одной и той же цели наносят на Х% урона. Стакается до 5 раз.
,,,,,12,25,22500,0,118,,252,,84,Повторные атаки по одной и той же цели наносят на Х% урона. Стакается до 5 раз.
,,,,,13,30,25000,0,148,,260,,87,Повторные атаки по одной и той же цели наносят на Х% урона. Стакается до 5 раз.
,,,,,14,35,27500,0,183,,268,,89,Повторные атаки по одной и той же цели наносят на Х% урона. Стакается до 5 раз.
,,,,,15,40,30000,0,223,,276,,92,Повторные атаки по одной и той же цели наносят на Х% урона. Стакается до 5 раз.
,,,,,16,45,32500,0,268,,284,,95,Повторные атаки по одной и той же цели наносят на Х% урона. Стакается до 5 раз.
,,,,,17,50,35000,0,318,,291,,97,Повторные атаки по одной и той же цели наносят на Х% урона. Стакается до 5 раз.
,,,,,18,55,37500,0,373,,299,,100,Повторные атаки по одной и той же цели наносят на Х% урона. Стакается до 5 раз.
,,,,,19,60,40000,0,433,,307,,102,Повторные атаки по одной и той же цели наносят на Х% урона. Стакается до 5 раз.
,,,,,20,70,45000,0,503,,315,,105,Повторные атаки по одной и той же цели наносят на Х% урона. Стакается до 5 раз.
"Оружие 1, тир 4",WEAPON,10,4,4,1,,,,,116,209,,70,Каждый удар наносит дополнительно тру урон в размере Х% от вражеского здоровья
,,,,,2,1,22500,0,1,120,216,,72,Каждый удар наносит дополнительно тру урон в размере Х% от вражеского здоровья
,,,,,3,2,25000,0,3,124,223,,74,Каждый удар наносит дополнительно тру урон в размере Х% от вражеского здоровья
,,,,,4,4,27500,0,7,128,230,,77,Каждый удар наносит дополнительно тру урон в размере Х% от вражеского здоровья
,,,,,5,6,30000,0,13,131,236,,79,Каждый удар наносит дополнительно тру урон в размере Х% от вражеского здоровья
,,,,,6,8,32500,0,21,135,243,,81,Каждый удар наносит дополнительно тру урон в размере Х% от вражеского здоровья
,,,,,7,10,35000,0,31,139,250,,83,Каждый удар наносит дополнительно тру урон в размере Х% от вражеского здоровья
,,,,,8,12,37500,0,43,143,257,,86,Каждый удар наносит дополнительно тру урон в размере Х% от вражеского здоровья
,,,,,9,14,40000,0,57,146,263,,88,Каждый удар наносит дополнительно тру урон в размере Х% от вражеского здоровья
,,,,,10,16,45000,0,73,150,270,,90,Каждый удар наносит дополнительно тру урон в размере Х% от вражеского здоровья
"Шлем 1, тир 1",HELMET,40,4,1,1,,,,,15,,,,
,,,,,2,1,100,0,1,30,,,,
,,,,,3,2,200,0,3,45,,,,
,,,,,4,4,400,0,7,60,,,,
,,,,,5,6,600,0,13,75,,,,
,,,,,6,8,800,0,21,90,,,,
,,,,,7,10,1000,0,31,105,,,,
,,,,,8,12,1200,0,43,120,,,,
,,,,,9,14,1400,0,57,135,,,,
,,,,,10,16,1600,0,73,150,,,,
,,,,,11,20,2000,0,93,165,,,,
,,,,,12,25,2500,0,118,180,,,,
,,,,,13,30,3000,0,148,195,,,,
,,,,,14,35,3500,0,183,210,,,,
,,,,,15,40,4000,0,223,225,,,,
,,,,,16,45,4500,0,268,240,,,,
,,,,,17,50,5000,0,318,255,,,,
,,,,,18,55,5500,0,373,270,,,,
,,,,,19,60,6000,0,433,285,,,,
,,,,,20,70,7000,0,503,300,,,,
,,,,,21,80,8000,0,583,315,,,,
,,,,,22,90,9000,0,673,330,,,,
,,,,,23,100,10000,0,773,345,,,,
,,,,,24,110,11000,0,883,360,,,,
,,,,,25,120,12000,0,1003,375,,,,
,,,,,26,130,13000,0,1133,390,,,,
,,,,,27,140,14000,0,1273,405,,,,
,,,,,28,150,15000,0,1423,420,,,,
,,,,,29,160,16000,0,1583,435,,,,
,,,,,30,175,17500,0,1758,450,,,,
,,,,,31,200,20000,0,1958,465,,,,
,,,,,32,225,22500,0,2183,480,,,,
,,,,,33,250,25000,0,2433,495,,,,
,,,,,34,275,27500,0,2708,510,,,,
,,,,,35,300,30000,0,3008,525,,,,
,,,,,36,325,32500,0,3333,540,,,,
,,,,,37,350,35000,0,3683,555,,,,
,,,,,38,375,37500,0,4058,570,,,,
,,,,,39,400,40000,0,4458,585,,,,
,,,,,40,450,45000,0,4908,600,,,,
"Шлем 2, тир 1",HELMET,40,4,1,1,,,,,11,2,,,
,,,,,2,1,100,0,1,23,5,,,
,,,,,3,2,200,0,3,34,7,,,
,,,,,4,4,400,0,7,45,9,,,
,,,,,5,6,600,0,13,56,11,,,
,,,,,6,8,800,0,21,68,14,,,
,,,,,7,10,1000,0,31,79,16,,,
,,,,,8,12,1200,0,43,90,18,,,
,,,,,9,14,1400,0,57,101,20,,,
,,,,,10,16,1600,0,73,113,23,,,
,,,,,11,20,2000,0,93,124,25,,,
,,,,,12,25,2500,0,118,135,27,,,
,,,,,13,30,3000,0,148,146,29,,,
,,,,,14,35,3500,0,183,158,32,,,
,,,,,15,40,4000,0,223,169,34,,,
,,,,,16,45,4500,0,268,180,36,,,
,,,,,17,50,5000,0,318,191,38,,,
,,,,,18,55,5500,0,373,203,41,,,
,,,,,19,60,6000,0,433,214,43,,,
,,,,,20,70,7000,0,503,225,45,,,
,,,,,21,80,8000,0,583,236,47,,,
,,,,,22,90,9000,0,673,248,50,,,
,,,,,23,100,10000,0,773,259,52,,,
,,,,,24,110,11000,0,883,270,54,,,
,,,,,25,120,12000,0,1003,281,56,,,
,,,,,26,130,13000,0,1133,293,59,,,
,,,,,27,140,14000,0,1273,304,61,,,
,,,,,28,150,15000,0,1423,315,63,,,
,,,,,29,160,16000,0,1583,326,65,,,
,,,,,30,175,17500,0,1758,338,68,,,
,,,,,31,200,20000,0,1958,349,70,,,
,,,,,32,225,22500,0,2183,360,72,,,
,,,,,33,250,25000,0,2433,371,74,,,
,,,,,34,275,27500,0,2708,383,77,,,
,,,,,35,300,30000,0,3008,394,79,,,
,,,,,36,325,32500,0,3333,405,81,,,
,,,,,37,350,35000,0,3683,416,83,,,
,,,,,38,375,37500,0,4058,428,86,,,
,,,,,39,400,40000,0,4458,439,88,,,
,,,,,40,450,45000,0,4908,450,90,,,
"Шлем 3, тир 1",HELMET,40,4,1,1,,,,,11,,2,,
,,,,,2,1,100,0,1,23,,5,,
,,,,,3,2,200,0,3,34,,7,,
,,,,,4,4,400,0,7,45,,9,,
,,,,,5,6,600,0,13,56,,11,,
,,,,,6,8,800,0,21,68,,14,,
,,,,,7,10,1000,0,31,79,,16,,
,,,,,8,12,1200,0,43,90,,18,,
,,,,,9,14,1400,0,57,101,,20,,
,,,,,10,16,1600,0,73,113,,23,,
,,,,,11,20,2000,0,93,124,,25,,
,,,,,12,25,2500,0,118,135,,27,,
,,,,,13,30,3000,0,148,146,,29,,
,,,,,14,35,3500,0,183,158,,32,,
,,,,,15,40,4000,0,223,169,,34,,
,,,,,16,45,4500,0,268,180,,36,,
,,,,,17,50,5000,0,318,191,,38,,
,,,,,18,55,5500,0,373,203,,41,,
,,,,,19,60,6000,0,433,214,,43,,
,,,,,20,70,7000,0,503,225,,45,,
,,,,,21,80,8000,0,583,236,,47,,
,,,,,22,90,9000,0,673,248,,50,,
,,,,,23,100,10000,0,773,259,,52,,
,,,,,24,110,11000,0,883,270,,54,,
,,,,,25,120,12000,0,1003,281,,56,,
,,,,,26,130,13000,0,1133,293,,59,,
,,,,,27,140,14000,0,1273,304,,61,,
,,,,,28,150,15000,0,1423,315,,63,,
,,,,,29,160,16000,0,1583,326,,65,,
,,,,,30,175,17500,0,1758,338,,68,,
,,,,,31,200,20000,0,1958,349,,70,,
,,,,,32,225,22500,0,2183,360,,72,,
,,,,,33,250,25000,0,2433,371,,74,,
,,,,,34,275,27500,0,2708,383,,77,,
,,,,,35,300,30000,0,3008,394,,79,,
,,,,,36,325,32500,0,3333,405,,81,,
,,,,,37,350,35000,0,3683,416,,83,,
,,,,,38,375,37500,0,4058,428,,86,,
,,,,,39,400,40000,0,4458,439,,88,,
,,,,,40,450,45000,0,4908,450,,90,,
"Шлем 1, тир 2",HELMET,30,4,2,1,,,,,179,,,,Реген здоровья в размере X% от максимума в секунду
,,,,,2,1,2500,0,1,195,,,,Реген здоровья в размере X% от максимума в секунду
,,,,,3,2,3000,0,3,211,,,,Реген здоровья в размере X% от максимума в секунду
,,,,,4,4,3500,0,7,228,,,,Реген здоровья в размере X% от максимума в секунду
,,,,,5,6,4000,0,13,244,,,,Реген здоровья в размере X% от максимума в секунду
,,,,,6,8,4500,0,21,260,,,,Реген здоровья в размере X% от максимума в секунду
,,,,,7,10,5000,0,31,276,,,,Реген здоровья в размере X% от максимума в секунду
,,,,,8,12,5500,0,43,293,,,,Реген здоровья в размере X% от максимума в секунду
,,,,,9,14,6000,0,57,309,,,,Реген здоровья в размере X% от максимума в секунду
,,,,,10,16,7000,0,73,325,,,,Реген здоровья в размере X% от максимума в секунду
,,,,,11,20,8000,0,93,341,,,,Реген здоровья в размере X% от максимума в секунду
,,,,,12,25,9000,0,118,358,,,,Реген здоровья в размере X% от максимума в секунду
,,,,,13,30,10000,0,148,374,,,,Реген здоровья в размере X% от максимума в секунду
,,,,,14,35,11000,0,183,390,,,,Реген здоровья в размере X% от максимума в секунду
,,,,,15,40,12000,0,223,406,,,,Реген здоровья в размере X% от максимума в секунду
,,,,,16,45,13000,0,268,423,,,,Реген здоровья в размере X% от максимума в секунду
,,,,,17,50,14000,0,318,439,,,,Реген здоровья в размере X% от максимума в секунду
,,,,,18,55,15000,0,373,455,,,,Реген здоровья в размере X% от максимума в секунду
,,,,,19,60,16000,0,433,471,,,,Реген здоровья в размере X% от максимума в секунду
,,,,,20,70,17500,0,503,488,,,,Реген здоровья в размере X% от максимума в секунду
,,,,,21,80,20000,0,583,504,,,,Реген здоровья в размере X% от максимума в секунду
,,,,,22,90,22500,0,673,520,,,,Реген здоровья в размере X% от максимума в секунду
,,,,,23,100,25000,0,773,536,,,,Реген здоровья в размере X% от максимума в секунду
,,,,,24,110,27500,0,883,553,,,,Реген здоровья в размере X% от максимума в секунду
,,,,,25,120,30000,0,1003,569,,,,Реген здоровья в размере X% от максимума в секунду
,,,,,26,130,32500,0,1133,585,,,,Реген здоровья в размере X% от максимума в секунду
,,,,,27,140,35000,0,1273,601,,,,Реген здоровья в размере X% от максимума в секунду
,,,,,28,150,37500,0,1423,618,,,,Реген здоровья в размере X% от максимума в секунду
,,,,,29,160,40000,0,1583,634,,,,Реген здоровья в размере X% от максимума в секунду
,,,,,30,175,45000,0,1758,650,,,,Реген здоровья в размере X% от максимума в секунду
"Шлем 2, тир 2",HELMET,30,5,2,1,,,,,134,27,,,Уменьшает длительность всех эффектов контроля на Х%
,,,,,2,1,2500,0,1,146,29,,,Уменьшает длительность всех эффектов контроля на Х%
